CSAT Score,Customer Remarks,cleaned_remarks,Sentiment_Vader,Sentiment_TextBlob,Human_Expert,Vader_Correct,TextBlob_Correct
5,"Shopzilla customer service executive   was very helpful,I appreciate her to good future ahead in your company.",shopzilla customer service executive helpful appreciate good future ahead company,positive,positive,positive,1,1
5,No,no,negative,neutral,neutral,0,1
5,Thankyou so much,thankyou much,neutral,positive,positive,0,1
5,Nyc talkng,nyc talkng,neutral,neutral,positive,0,0
5,Thanks,thanks,positive,positive,positive,1,1
1,"You have played around with this order. Without taking customers concern, how can you plan the resolution/pick-up of the products? Don't you have brain to check with the customers availability? Also, no courtesy to atleast reach customer and apologize for the mess created by Shopzilla due to systems failure. Order placed on 8 July and 19 July damaged product delivered. I'm still awaiting for the resolution and refund.",played around order without taking customers concern plan resolution pick products brain check customers availability also no courtesy atleast reach customer apologize mess created shopzilla due systems failure order placed 8 july 19 july damaged product delivered still awaiting resolution refund,negative,negative,negative,1,1
5,Excellent,excellent,positive,positive,positive,1,1
4,Very nice,nice,positive,positive,positive,1,1
5,Good,good,positive,positive,positive,1,1
4,Bot is very annoying,bot annoying,negative,negative,negative,1,1
5,Ok,ok,positive,positive,positive,1,1
5,Have faith in coustomar,faith coustomar,positive,neutral,neutral,0,1
1,One side nit warning,one side nit warning,negative,neutral,negative,1,0
1,They put my call on hold but after sometime they disconnected without any information.,put call hold sometime disconnected without information,neutral,neutral,negative,0,0
5,Please solve the queries,please solve queries,positive,neutral,neutral,0,1
1,No,no,negative,neutral,neutral,0,1
5,She is very good. If she need to switch the job ask her to contact me.,good need switch job ask contact,positive,positive,positive,1,1
4,Item are too delay of delivery date,item delay delivery date,negative,neutral,negative,1,0
1,10 days order not supply &no payment refund,10 days order not supply no payment refund,positive,neutral,negative,0,0
5,Best,best,positive,positive,positive,1,1
1,"Idiotic customer care executives, no solution from your end since April 28 th, call disconnected from the executive end",idiotic customer care executives no solution end since april 28 th call disconnected executive end,negative,negative,negative,1,1
5,My issue paylater bill not submited so i talk customer  suppprt nd my issue solve in just min thnx Shopzilla,issue paylater bill not submited talk customer suppprt nd issue solve min thnx shopzilla,positive,neutral,positive,1,0
4,Problems and concern's Good Understanding and solved.,problems concern good understanding solved,positive,positive,positive,1,1
3,My problem is not yet solved,problem not yet solved,negative,neutral,negative,1,0
1,"I ordered a sleeper which was delivered on 22nd july after that i didn't like its quality so i refunded the last date to pick up the product after refund was 25th july but my product didn't get picked up till 31st july.  And I was consoled to wait only 24 hours for 5 days after talking to the costumer care, even after that no one came for pickup, I felt very sad seeing the return policy of Shopzilla.  That's why I canceled myself last night, first time this happened to me ??",ordered sleeper delivered 22nd july like quality refunded last date pick product refund 25th july product get picked till 31st july consoled wait 24 hours 5 days talking costumer care even no one came pickup felt sad seeing return policy shopzilla canceled last night first time happened,positive,negative,negative,0,1
1,Awful customer support ever,awful customer support ever,negative,negative,negative,1,1
5,Good job ??,good job,positive,positive,positive,1,1
5,Happy,happy,positive,positive,positive,1,1
5,happy costumer support,happy costumer support,positive,positive,positive,1,1
4,U cal display ur customers support number4 help any customers problem But no display customers care number,u cal display ur customers support number4 help customers problem no display customers care number,positive,neutral,neutral,0,1
1,After delivery of the product take responsibility of the items.,delivery product take responsibility items,neutral,neutral,negative,0,0
5,Interaction was awesome but policy is very bad can't unblock my account pay later,interaction awesome policy bad unblock account pay later,positive,positive,neutral,0,0
3,Reduce time,reduce time,neutral,neutral,neutral,1,1
,,,,,,65,71
