Customer Remarks,CSAT Score,cleaned_remarks
Ghatiya log h Shopzilla vale,1,ghatiya log h shopzilla vale
Don't trying to make fulis peppers,1,trying make fulis peppers
"Those who are creating issues, those taking complain and those who are working on complain are completely from different teams and they don't have any sync or level of customer dissatisfaction from customer, however they all are working but not with a goal. This creates frustration in customer, who slowly loose faith with the company.",2,creating issues taking complain working complain completely different teams sync level customer dissatisfaction customer however working not goal creates frustration customer slowly loose faith company
"When someone write \"" need a call \"" then your system should respond immediately.",4,someone write need call system respond immediately
"Thanks,it took 4 hrs to reach customer care..",5,thanks took 4 hrs reach customer care
Excellent ,5,excellent
Good,5,good
Good ,1,good
Very very very good ,5,good
Nice,5,nice
"Items missing is a very Bad Taste for the customer who is in need of the material.  Pls work to avoid such issues,  spoiling the reputation of the brand",4,items missing bad taste customer need material pls work avoid issues spoiling reputation brand
Customer support executive is very kind hearted ,5,customer support executive kind hearted
Good help ,5,good help
"Shopzilla your costumer support very bad,,,,,they not capable to resolve my concern,,,,,, please improve your service,,,,and don't fool to people.........I ordered some products on 27 July 2023 ,,,,,but after 4-5 days Shopzilla sent me a message,,,your order cancelled,,,,,,,why Shopzilla sales like this I irritating so much,,,,,,after that I uninstalled Shopzilla app,,,,and shift to SuperBuy ,,,,,",1,shopzilla costumer support bad not capable resolve concern please improve service fool people ordered products 27 july 2023 4 5 days shopzilla sent message order cancelled shopzilla sales like irritating much uninstalled shopzilla app shift superbuy
Ok,5,ok
very good,5,good
My money was deducted and the order is not yet confirmed,3,money deducted order not yet confirmed
Thanku for supporting ,5,thanku supporting
Doesn't deliver product on time,1,deliver product time
All good ,5,good
Very helpful support thanku Shopzilla,5,helpful support thanku shopzilla
one item fortune mustered oill missing ... refund asap..,3,one item fortune mustered oill missing refund asap
Don't sell company defective items.,4,sell company defective items
The customer service is very good ,5,customer service good
Bad service  customer relative not problem resolve,1,bad service customer relative not problem resolve
Wen u assign a deliver partner for return make sure that the wishmaster agents shud du their responsibility...not instead of saying I m not capable of taking this item I can't take this return.....even ur app has flaws u shud specify tu an agent wat product he has tu tke frm custo.er cmng on door and seeing the product he says this is the trolley part I m hvng two wheeler...so u shud call customer care wat is this,1,wen u assign deliver partner return make sure wishmaster agents shud du responsibility not instead saying not capable taking item take return even ur app flaws u shud specify tu agent wat product tu tke frm custo er cmng door seeing product says trolley part hvng two wheeler u shud call customer care wat
Excellent,5,excellent
Very nice person ,5,nice person
"Sellers with No return policy, are sending Incorrect products, incorrect size, poor quality products to customers. Please have a strict rule and sort out them and take action. ",5,sellers no return policy sending incorrect products incorrect size poor quality products customers please strict rule sort take action
Thanks ,5,thanks
Very food,5,food
Nice help sir,5,nice help sir
Mivi policy is not transparent for customer,1,mivi policy not transparent customer
Very good ,5,good
Muzammil46 ,1,muzammil46
Very bad,1,bad
Good,5,good
Return policy refurbished need ,4,return policy refurbished need
This is good woman manjileka,5,good woman manjileka
Great services ,5,great services
Very good service ,5,good service
So sweet ,5,sweet
Too Good. Thanks ,5,good thanks
Thank you Shopzilla and thank you Shopzilla customer support ,5,thank shopzilla thank shopzilla customer support
Bad service ,1,bad service
Good communication skills ,5,good communication skills
Good ,5,good
Not sastify with service and answers ,3,not sastify service answers
Thanku Maim,5,thanku maim
No,4,no
I am happy ,5,happy
Thanks ,5,thanks
Super ,5,super
Samal kushwaha ,1,samal kushwaha
Good communication ,5,good communication
"Try to sell authorized products, as duplicate product had seller from your platform",1,try sell authorized products duplicate product seller platform
  ache   krke,5,ache krke
Good,5,good
Good ,5,good
Good behavior ,5,good behavior
I'm not good ,1,not good
"I like to talk with this guy , she was very humbleThankyou so much I appreciate ????",5,like talk guy humblethankyou much appreciate
Nice person ,5,nice person
Issue still continue,5,issue still continue
Cancel order,5,cancel order
Thankyou! ,5,thankyou
Very nice and very good cosumer support ,5,nice good cosumer support
"Please, do not do work with bad sellers, who send wrong items and fake products",5,please not work bad sellers send wrong items fake products
It treated me very badly.  Why canceled the order after taking my order.  It is very bad practice towards the customer.  This is very bad usage.  I am not taking anything else here..,1,treated badly canceled order taking order bad practice towards customer bad usage not taking anything else
My all doubts solved thak you sir,5,doubts solved thak sir
Good best but my amount is not credited my account ,4,good best amount not credited account
I love his voice so preety please upgrade his post into manager in Shopzilla this person is very helpful thanks brother ????????,5,love voice preety please upgrade post manager shopzilla person helpful thanks brother
The most inefficient resolution mechanism ,1,inefficient resolution mechanism
Thanks Team!,4,thanks team
Very nice   ?? ,5,nice
Osm,5,osm
very good person ,5,good person
Very good service ,5,good service
Good,5,good
"Need exchange option again as I clicked \""Reject\"" by mistake during exchange confirmation.",4,need exchange option clicked reject mistake exchange confirmation
Issues resolution fast,5,issues resolution fast
Costumers support team is very good ,5,costumers support team good
"Very wrost service nobody resolvoed without deliverying product delivery agent updating as product delivered it's absolutely wrong data leakaging without asking pin he has updated like this, what it shows? Till date am unable to connect with him also",1,wrost service nobody resolvoed without deliverying product delivery agent updating product delivered absolutely wrong data leakaging without asking pin updated like shows till date unable connect also
Fraud company Shopzilla company ,5,fraud company shopzilla company
Tq ,5,tq
Amazing customers support but poor proceedings ,5,amazing customers support poor proceedings
He was very good in communication and all and i expect to solve my asap thank you,5,good communication expect solve asap thank
Executive was good and professional resolved my query but he was unable to address my doubt about FK services.but overall good ??,5,executive good professional resolved query unable address doubt fk services overall good
Very good ,5,good
"Ordered on 27th with expected delivery on 29th. Put for delivery on 30th, no call, gets undeliveredDelivery agent confirms address on 31st but doesn't pick up call, marks undeliveredOn 1st, gets undelivered without a callOn the 2nd gets cancelledYour so called senior support agent   is absolutely horrible and even ridiculed by pronuncing my name at the end. This rating is for him and your service with it.Not only is your service pathetic, but so are your agents.Terrible service and experience I've had",1,ordered 27th expected delivery 29th put delivery 30th no call gets undelivereddelivery agent confirms address 31st pick call marks undeliveredon 1st gets undelivered without callon 2nd gets cancelledyour called senior support agent absolutely horrible even ridiculed pronuncing name end rating service not service pathetic agents terrible service experience
satisfied from the conversation with Miss   regarding my issue...Thanks,5,satisfied conversation miss regarding issue thanks
Aplog apan system may sudhar laya nahyto bohat jald apna dukan band   ,1,aplog apan system may sudhar laya nahyto bohat jald apna dukan band
Bad service ,1,bad service
Ok,5,ok
Good,5,good
Good experience with Shopzilla ,4,good experience shopzilla
Thanks Shopzilla ,5,thanks shopzilla
Mera parcel cancel kar diya ,1,mera parcel cancel kar diya
I am happy with customer service,5,happy customer service
Very good mam,5,good mam
Good,5,good
Give option for faster delivery ,1,give option faster delivery
Very good voice ,5,good voice
Shopzilla fraud h Customer ko gumrah   h,1,shopzilla fraud h customer ko gumrah h
"I didn't received the the product one out of two. Very frustrated .Please understand that my frustration is not directed at you personally, but rather at the lack of attention and assistance from your customer service representatives. I believe that a reputable company like yours should prioritize its customers and work towards resolving issues promptly and effectively.I sincerely hope that you will consider my situation with utmost urgency and help restore my faith in your company's commitment to customer satisfaction. I expect a timely response to this email and a tangible resolution to my problem.Thank you for your attention to this matter.",1,received product one two frustrated please understand frustration not directed personally rather lack attention assistance customer service representatives believe reputable company like prioritize customers work towards resolving issues promptly effectively sincerely hope consider situation utmost urgency help restore faith company commitment customer satisfaction expect timely response email tangible resolution problem thank attention matter
Recently I talk to the customer support service your behaviour of your employee was soo polite and mannerful hats of to you man thanks for solving my problem stay blessed ??,5,recently talk customer support service behaviour employee soo polite mannerful hats man thanks solving problem stay blessed
Vary good,5,vary good
Try to fix delivery hours as it is uncertain that when delivery person will arrive in whole day. Sometimes they arrive in busy hours and it becomes difficut to receive the order. So recepient should be informed about the approximate delivery time.,5,try fix delivery hours uncertain delivery person arrive whole day sometimes arrive busy hours becomes difficut receive order recepient informed approximate delivery time
I don't like chat bot ,5,like chat bot
Plz refund immediately ,5,plz refund immediately
Nothing ,4,nothing
I look some scarcity of clarity in coustomer problem solutions. it has take much time. Please make it more easy for customers. So it make helpful for customers.Thankyou ,5,look scarcity clarity coustomer problem solutions take much time please make easy customers make helpful customers thankyou
Thank you sir ,5,thank sir
Front end support executives don't know what to do when we ask for solution ,1,front end support executives know ask solution
Mujhe baat kerke achAa lga ,5,mujhe baat kerke achaa lga
No,5,no
Good ,5,good
Good ,1,good
Thank you   ji,4,thank ji
Nice service ,5,nice service
Shopzilla is very very....poor service provider ??,3,shopzilla poor service provider
Nice customer service,5,nice customer service
This is disgusting....worst....not solve my problem....and customer support executive talk in unmanned way.....,1,disgusting worst not solve problem customer support executive talk unmanned way
Thank you,5,thank
Good Interaction with executive,5,good interaction executive
Thanku ,4,thanku
Good ,5,good
Everything ok,5,everything ok
Product cancelled without any information and got feed that u have rehected the delivery ,1,product cancelled without information got feed u rehected delivery
Shopping made easyThanks Shopzilla ,5,shopping made easythanks shopzilla
When I order they show me delivery after 2 days and once I made full payment in advance they show me delivery after 4/5 days and today when I receive my order that delivery agent is not received call totally useless services I'll never order again from Shopzilla ,1,order show delivery 2 days made full payment advance show delivery 4 5 days today receive order delivery agent not received call totally useless services never order shopzilla
Sir I have ordered two libas kurtas and wrong product send by seller in both the parcels . As per my complaint Only one parcel is showing for refund and I want my total money of two parcels .,1,sir ordered two libas kurtas wrong product send seller parcels per complaint one parcel showing refund want total money two parcels
Thanks you Shopzilla ,5,thanks shopzilla
Nice ,4,nice
Thank you Mam,5,thank mam
Good ,5,good
Please make a product tracking system with contact number of every handover consultant's ,4,please make product tracking system contact number every handover consultant
Kafi achha se mujhe jankari deya.or jadon hi team mere problem per work   Diya.,5,kafi achha se mujhe jankari deya jadon hi team mere problem per work diya
Delivery boy was very rude behavior ,5,delivery boy rude behavior
Good experience ,5,good experience
Good service ,5,good service
Good experience with Shopzilla ,5,good experience shopzilla
Thanks,4,thanks
Customer executive was polite and skillful but I'm really not very disappointed with Shopzilla sellers and their post delivery service.,3,customer executive polite skillful really not disappointed shopzilla sellers post delivery service
not okay with the product ,5,not okay product
Maintain product quality ,5,maintain product quality
Product must be trustful and worthy.,5,product must trustful worthy
Issue not solved ,1,issue not solved
Very very nice guy .,5,nice guy
Good Taking Good behaviour,5,good taking good behaviour
Best app Shopzilla ,5,best app shopzilla
Very good jobs ??,5,good jobs
Please resolve my issue ,5,please resolve issue
Fast action pls ,5,fast action pls
Don't allow directly to cancel the order,5,allow directly cancel order
Good listener and polite behaviour,5,good listener polite behaviour
Refund related policy ,1,refund related policy
NYC and good man talking bout me ?,5,nyc good man talking bout
good knowledge ,4,good knowledge
Thanks,4,thanks
Call disconnected ,1,call disconnected
Thank you,4,thank
It was good ,5,good
It was awasome ,5,awasome
everyone make fool from Shopzilla ,1,everyone make fool shopzilla
My issue has been going on for 48 hours now still unresolved ,3,issue going 48 hours still unresolved
Close the online grocery store if you have restrictions on buyings ,4,close online grocery store restrictions buyings
  good ,5,good
Excellent performance ,5,excellent performance
"Nice to talk with you Miss  , After some Lil long conversation make me smile on my face with your resolution.Thank you. ",5,nice talk miss lil long conversation make smile face resolution thank
Solve this issue as soon as possible ,5,solve issue soon possible
Not solved my issue ,1,not solved issue
Good behaviour costomer care ,5,good behaviour costomer care
Fine,3,fine
Very nice ?? service ,5,nice service
My problem is solve thank you costumer service,1,problem solve thank costumer service
Issue refund immediately ,1,issue refund immediately
Good,5,good
Very thanks to you ,5,thanks
Return policy is very slow and bad,4,return policy slow bad
Very helpful call thanku team,5,helpful call thanku team
Thks uuu,4,thks uuu
Super everything ,5,super everything
Very good experience with this... She is very kindly talk with me thank you   ??,5,good experience kindly talk thank
Give proper answer for the specific enquiry customer have. Instead of generic Answer.,1,give proper answer specific enquiry customer instead generic answer
No any solution and no replace my boat airbuds 161Very bad service boat and Shopzilla ,1,no solution no replace boat airbuds 161very bad service boat shopzilla
Good ,5,good
Baat karne ka Tarika bahut achha h mam ka ????,5,baat karne ka tarika bahut achha h mam ka
I am happy to take with the customer support team ,5,happy take customer support team
No,5,no
Na,5,na
It is the duty of the customer care people to help the customers and they are doing their duty very well. Thank you Shopzilla for helping us. ,5,duty customer care people help customers duty well thank shopzilla helping us
Good ,4,good
No,5,no
  is very supportive thank to her,5,supportive thank
All Good ??,5,good
Customer care madam very good person.. she solve my issue ????,5,customer care madam good person solve issue
Not proper information and very time teking ,1,not proper information time teking
thanks,5,thanks
Not sporting ,1,not sporting
Apse baat  ,5,apse baat
Thanks,5,thanks
"Nothing, just solve my issue , returning related. ",5,nothing solve issue returning related
Good Behaviour ,5,good behaviour
Excellent communication ,5,excellent communication
Thanks ??,5,thanks
Very good ,5,good
Shopzilla are bad app for online shoping pardcut are not good and problem are not solved ,4,shopzilla bad app online shoping pardcut not good problem not solved
Don\u2019t deliver wrong products Deliver the products what customer ordered ,1,u2019t deliver wrong products deliver products customer ordered
Very nice ,5,nice
Very bad ,1,bad
The issue of vacuum cleaner is not yet resolved.There is extreme delay in delivery of the product.Kindly provide concrete solution at the earliest,1,issue vacuum cleaner not yet resolved extreme delay delivery product kindly provide concrete solution earliest
Nothing ,5,nothing
Good ,5,good
More comfortable ,5,comfortable
  mam aapse baat karke bahut axa lga full help   aapne   thank you Mam,5,mam aapse baat karke bahut axa lga full help aapne thank mam
Problem not resolved,1,problem not resolved
Make delivery more fast. It take 7-10 days for even smaller products to get delivered in Chhattisgarh State capital Raipur,5,make delivery fast take 7 10 days even smaller products get delivered chhattisgarh state capital raipur
Very good ,5,good
Very good ,5,good
No,5,no
Good,5,good
One Assist Protection plan's Invoice not available on Shopzilla.,1,one assist protection plan invoice not available shopzilla
Worst service,1,worst service
   bhut he good hai  Shopzilla ko  thankyou,4,bhut good hai shopzilla ko thankyou
Thanks??,5,thanks
Solution not provided ,1,solution not provided
Very polite ,5,polite
It's good ,5,good
Provide honest delivery staff,3,provide honest delivery staff
Customer care services is very good,5,customer care services good
No suggestions Shopzilla is always giving the best services just look after the packaging...i have doubt on packaging this time as things are not in order as order id.,5,no suggestions shopzilla always giving best services look packaging doubt packaging time things not order order id
thank you sir ,5,thank sir
Good,5,good
Nice ,4,nice
Thnkyou ,5,thnkyou
  customer service ,5,customer service
Loved shopping with Shopzilla,5,loved shopping shopzilla
Good ,5,good
Nothing ,5,nothing
good supports Shopzilla team..,5,good supports shopzilla team
If a delivery agent didnt contaceted customer and he himself says that customer rejected the product qnd cancelled the order placed without reaching customer is highly unethical and these delivery agent are giving false statment on customers. Shopzilla should make stronger policy to take care of these kind of issues that customer faces from delivery agent.,3,delivery agent didnt contaceted customer says customer rejected product qnd cancelled order placed without reaching customer highly unethical delivery agent giving false statment customers shopzilla make stronger policy take care kind issues customer faces delivery agent
Costomer care agents behaviour is so nice ??,5,costomer care agents behaviour nice
Na,4,na
Good solution,5,good solution
Nice ????,5,nice
"Today I talked to to support executives, the 1st one was very rude, had lack of knowledge, misbehaved, instead of solving my query,he disconnected my call from his own side, 2nd one was very helpful, supportive, professional, my feedback is for the 2nd executive.",5,today talked support executives 1st one rude lack knowledge misbehaved instead solving query disconnected call side 2nd one helpful supportive professional feedback 2nd executive
Please put order botton(option) in front of the app or bottom of aap,5,please put order botton option front app bottom aap
Good experience for taking ,1,good experience taking
He placed wrong return after giving all details.Is was disappointing.,2,placed wrong return giving details disappointing
Good ,5,good
"Thanx for happing nice person,??",5,thanx happing nice person
My query was not solved but I knew the value of feedback how much Dsat gave the dent to an agent but I M not satisfied so take it as begging,5,query not solved knew value feedback much dsat gave dent agent not satisfied take begging
As quick as possible sutout all matters.,5,quick possible sutout matters
Thanks,5,thanks
I am happy for Shopzilla costmer care ????,5,happy shopzilla costmer care
My order no rifand no return ,1,order no rifand no return
Good ,5,good
Ni,5,ni
not available pin 127021 on grocery ,1,not available pin 127021 grocery
Thnx ,5,thnx
Good to talk u,5,good talk u
Good ,5,good
Nice to customer service ??,5,nice customer service
It's good ,4,good
She put me hold for 20 minutes.,1,put hold 20 minutes
Good ,5,good
"CUSTOMER CARE AGENT VERY GOOD SERVICES,BUT Shopzilla COMPNY NO GOOD",5,customer care agent good services shopzilla compny no good
"So happy to got a call from the customer service. The customer service boy understand my problem, help me to solve my problem. Thank you Shopzilla ",5,happy got call customer service customer service boy understand problem help solve problem thank shopzilla
Very Good,5,good
No,5,no
Helpful,5,helpful
Thanku ,5,thanku
This time you guys are making me #C and called it's useg charge.,5,time guys making c called useg charge
Happy ,4,happy
Not,2,not
Strong action should be taken against fraud delivery agents.,5,strong action taken fraud delivery agents
Customer  executive was giving wrong information to me,1,customer executive giving wrong information
Good ,5,good
Issues thoda jaldhi solve ho jayege to bda achaa   ,5,issues thoda jaldhi solve ho jayege bda achaa
Nothing ,5,nothing
Good ????,5,good
Excellent ??,5,excellent
Good ,5,good
No ,5,no
my return issue has taken more than 7 days and still pending. very disappointing. ,1,return issue taken 7 days still pending disappointing
Just Ok... But not too much ok... Lets see he can or can't to Solve My problem..,4,ok not much ok lets see solve problem
Great ,5,great
Customer cayaring ,3,customer cayaring
All good ,4,good
Supuer service ,5,supuer service
Great job by customer excutiveI'm happy for it ,5,great job customer excutivei happy
Good ,5,good
Very nice ,5,nice
Very good ,5,good
Thank you very much to Shopzilla he helped me very well today Thank you so much,5,thank much shopzilla helped well today thank much
Since 2018 se aj 2 nd time   delivery boy ne rude behave  .... I'm really very upset,5,since 2018 se aj 2 nd time delivery boy ne rude behave really upset
gud,5,gud
Good jobs,5,good jobs
My issue has not been resolved yet and I am facing so much trouble for the same. I don't know why the executive has disconnected the call in between the communication.,1,issue not resolved yet facing much trouble know executive disconnected call communication
